GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income
24031702800,Census Tract 7028; Montgomery County; Maryland,5548.0,15.9,2.2,13.1,9.4,144351.0
24031702900,Census Tract 7029; Montgomery County; Maryland,5630.0,17.5,2.1,21.5,11.5,173864.0
24031703000,Census Tract 7030; Montgomery County; Maryland,1783.0,0.9,12.3,14.0,9.3,175250.0
24031703100,Census Tract 7031; Montgomery County; Maryland,4875.0,6.8,7.0,13.0,7.3,177731.0
24031703201,Census Tract 7032.01; Montgomery County; Maryland,8541.0,1.0,6.9,15.4,11.3,184809.0
24031703202,Census Tract 7032.02; Montgomery County; Maryland,6187.0,3.5,5.1,23.4,15.0,159599.0
24031703206,Census Tract 7032.06; Montgomery County; Maryland,3959.0,3.9,2.1,20.6,5.4,109659.0
24031703207,Census Tract 7032.07; Montgomery County; Maryland,6169.0,8.2,8.7,13.0,8.4,100362.0
24031703208,Census Tract 7032.08; Montgomery County; Maryland,5277.0,2.1,7.0,17.2,6.1,190481.0
24031703209,Census Tract 7032.09; Montgomery County; Maryland,6088.0,10.9,13.6,9.9,6.3,85230.0
24031703210,Census Tract 7032.10; Montgomery County; Maryland,3791.0,2.6,3.1,17.2,8.2,164821.0
24031703213,Census Tract 7032.13; Montgomery County; Maryland,6334.0,15.7,18.5,3.3,7.5,61892.0
24031703214,Census Tract 7032.14; Montgomery County; Maryland,7219.0,19.0,22.9,14.7,9.3,65875.0
24031703215,Census Tract 7032.15; Montgomery County; Maryland,3266.0,12.9,6.9,11.6,5.9,101186.0
24031703216,Census Tract 7032.16; Montgomery County; Maryland,3746.0,12.2,5.9,58.8,16.5,57778.0
24031703218,Census Tract 7032.18; Montgomery County; Maryland,1962.0,13.9,8.7,90.0,38.5,84279.0
24031703219,Census Tract 7032.19; Montgomery County; Maryland,3174.0,12.4,13.7,91.6,31.6,56667.0
24031703220,Census Tract 7032.20; Montgomery County; Maryland,4786.0,16.7,5.9,20.5,16.2,106348.0
24031703221,Census Tract 7032.21; Montgomery County; Maryland,5095.0,4.0,4.9,15.1,13.7,134115.0
24031703222,Census Tract 7032.22; Montgomery County; Maryland,4357.0,5.9,18.6,9.8,8.6,121667.0
24031703223,Census Tract 7032.23; Montgomery County; Maryland,6828.0,0.9,1.7,15.3,8.8,188243.0
24031703301,Census Tract 7033.01; Montgomery County; Maryland,5077.0,2.5,5.8,11.9,12.0,129196.0
24031703302,Census Tract 7033.02; Montgomery County; Maryland,5128.0,0.7,10.0,12.5,6.0,114188.0
24031703401,Census Tract 7034.01; Montgomery County; Maryland,5784.0,3.3,6.2,15.6,7.5,109708.0
24031703402,Census Tract 7034.02; Montgomery County; Maryland,4227.0,1.9,2.6,9.8,9.6,146797.0
24031703403,Census Tract 7034.03; Montgomery County; Maryland,3336.0,4.6,8.5,12.1,4.3,136140.0
24031703404,Census Tract 7034.04; Montgomery County; Maryland,3778.0,3.4,16.8,14.1,7.1,99318.0
24031703501,Census Tract 7035.01; Montgomery County; Maryland,6191.0,10.7,15.2,18.4,8.0,87347.0
24031703502,Census Tract 7035.02; Montgomery County; Maryland,2869.0,11.1,4.9,22.0,13.3,108833.0
24031703601,Census Tract 7036.01; Montgomery County; Maryland,4777.0,4.6,2.7,19.2,14.5,125853.0
24031703602,Census Tract 7036.02; Montgomery County; Maryland,2507.0,2.1,5.5,29.6,12.5,198542.0
24031703701,Census Tract 7037.01; Montgomery County; Maryland,4422.0,15.0,23.3,18.7,11.7,132883.0
24031703702,Census Tract 7037.02; Montgomery County; Maryland,4265.0,6.4,10.4,13.0,5.4,119461.0
24031703800,Census Tract 7038; Montgomery County; Maryland,4202.0,29.7,16.9,6.7,5.8,86190.0
24031703901,Census Tract 7039.01; Montgomery County; Maryland,3257.0,6.0,6.8,14.6,4.8,190114.0
24031703902,Census Tract 7039.02; Montgomery County; Maryland,8475.0,18.0,21.2,8.2,7.5,111326.0
24031704000,Census Tract 7040; Montgomery County; Maryland,6616.0,16.1,5.4,19.1,6.6,141000.0
24031704100,Census Tract 7041; Montgomery County; Maryland,4522.0,9.8,3.6,21.9,12.5,217000.0
24031704200,Census Tract 7042; Montgomery County; Maryland,2369.0,13.0,6.3,21.6,12.0,152284.0
24031704300,Census Tract 7043; Montgomery County; Maryland,4017.0,0.7,5.1,16.2,7.1,220375.0
24031704401,Census Tract 7044.01; Montgomery County; Maryland,3511.0,0.5,2.8,19.1,6.3,250001.0
24031704403,Census Tract 7044.03; Montgomery County; Maryland,1426.0,7.5,4.2,41.9,15.2,94906.0
24031704404,Census Tract 7044.04; Montgomery County; Maryland,6108.0,9.4,1.1,18.0,8.0,191042.0
24031704501,Census Tract 7045.01; Montgomery County; Maryland,3223.0,2.1,0.9,18.7,7.2,239405.0
24031704502,Census Tract 7045.02; Montgomery County; Maryland,3095.0,0.6,6.8,18.4,5.4,250001.0
24031704503,Census Tract 7045.03; Montgomery County; Maryland,4108.0,0.0,3.6,13.2,5.5,250001.0
24031704600,Census Tract 7046; Montgomery County; Maryland,5075.0,4.9,1.6,16.8,8.6,216023.0
24031704700,Census Tract 7047; Montgomery County; Maryland,3639.0,0.8,1.2,23.2,5.2,250001.0
24031704803,Census Tract 7048.03; Montgomery County; Maryland,4556.0,14.2,6.3,17.2,11.8,107460.0
24031704804,Census Tract 7048.04; Montgomery County; Maryland,2673.0,13.0,10.1,16.1,7.6,139012.0
24031704805,Census Tract 7048.05; Montgomery County; Maryland,2826.0,32.1,8.7,20.0,10.3,135114.0
24031704806,Census Tract 7048.06; Montgomery County; Maryland,4554.0,25.4,6.6,9.3,5.3,91366.0
24031705000,Census Tract 7050; Montgomery County; Maryland,4621.0,14.3,5.2,17.2,8.8,209015.0
24031705100,Census Tract 7051; Montgomery County; Maryland,5493.0,3.2,2.6,25.6,9.5,208452.0
24031705200,Census Tract 7052; Montgomery County; Maryland,3363.0,1.4,4.8,21.5,5.7,250001.0
24031705300,Census Tract 7053; Montgomery County; Maryland,1903.0,1.8,1.2,32.2,6.0,250001.0
24031705400,Census Tract 7054; Montgomery County; Maryland,2906.0,3.3,2.0,19.6,5.2,250001.0
24031705501,Census Tract 7055.01; Montgomery County; Maryland,2185.0,30.1,6.0,15.0,11.5,172778.0
24031705502,Census Tract 7055.02; Montgomery County; Maryland,4142.0,5.5,9.3,24.8,13.5,194925.0
24031705601,Census Tract 7056.01; Montgomery County; Maryland,3359.0,0.6,4.3,13.4,4.0,250001.0
24031705602,Census Tract 7056.02; Montgomery County; Maryland,3930.0,19.9,9.5,45.9,15.6,129625.0
24031705701,Census Tract 7057.01; Montgomery County; Maryland,4837.0,6.2,4.9,17.4,5.3,205000.0
24031705702,Census Tract 7057.02; Montgomery County; Maryland,4855.0,0.6,2.3,25.6,9.4,222125.0
24031705800,Census Tract 7058; Montgomery County; Maryland,6126.0,2.4,2.0,21.3,5.3,247207.0
24031705901,Census Tract 7059.01; Montgomery County; Maryland,4262.0,9.5,3.4,25.9,7.4,250001.0
24031705902,Census Tract 7059.02; Montgomery County; Maryland,4199.0,1.8,1.0,21.1,7.7,250001.0
24031705903,Census Tract 7059.03; Montgomery County; Maryland,4764.0,2.5,2.7,21.0,5.9,250001.0
24031706005,Census Tract 7060.05; Montgomery County; Maryland,4390.0,0.7,1.9,30.3,7.3,250001.0
24031706007,Census Tract 7060.07; Montgomery County; Maryland,7301.0,2.8,2.2,27.3,6.6,229620.0
24031706008,Census Tract 7060.08; Montgomery County; Maryland,5353.0,3.2,3.1,26.1,6.8,250001.0
24031706009,Census Tract 7060.09; Montgomery County; Maryland,5148.0,0.5,4.1,23.1,6.3,250001.0
24031706010,Census Tract 7060.10; Montgomery County; Maryland,2981.0,2.2,2.9,21.7,7.2,211923.0
24031706011,Census Tract 7060.11; Montgomery County; Maryland,5705.0,0.6,2.5,20.7,10.8,250001.0
24031706012,Census Tract 7060.12; Montgomery County; Maryland,3200.0,18.3,19.7,27.8,26.0,67452.0
24031706013,Census Tract 7060.13; Montgomery County; Maryland,3024.0,0.7,1.5,22.4,11.1,250001.0
