GEOID,tract_name,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino
24031701425,Census Tract 7014.25; Montgomery County; Maryland,3942.0,1219.0,1964.0,285.0,366.0
24031701426,Census Tract 7014.26; Montgomery County; Maryland,6173.0,793.0,2750.0,1219.0,1046.0
24031701427,Census Tract 7014.27; Montgomery County; Maryland,3306.0,353.0,1592.0,584.0,659.0
24031701503,Census Tract 7015.03; Montgomery County; Maryland,7518.0,1581.0,2670.0,1208.0,1801.0
24031701505,Census Tract 7015.05; Montgomery County; Maryland,7264.0,1015.0,3245.0,740.0,2011.0
24031701506,Census Tract 7015.06; Montgomery County; Maryland,5150.0,1642.0,2087.0,468.0,563.0
24031701507,Census Tract 7015.07; Montgomery County; Maryland,5459.0,2014.0,1552.0,1259.0,355.0
24031701508,Census Tract 7015.08; Montgomery County; Maryland,4834.0,463.0,3758.0,131.0,408.0
24031701509,Census Tract 7015.09; Montgomery County; Maryland,6390.0,818.0,2766.0,729.0,1875.0
24031701601,Census Tract 7016.01; Montgomery County; Maryland,2035.0,69.0,1231.0,92.0,506.0
24031701602,Census Tract 7016.02; Montgomery County; Maryland,7158.0,437.0,934.0,1474.0,4274.0
24031701701,Census Tract 7017.01; Montgomery County; Maryland,3503.0,2212.0,568.0,75.0,411.0
24031701702,Census Tract 7017.02; Montgomery County; Maryland,2474.0,809.0,659.0,114.0,584.0
24031701703,Census Tract 7017.03; Montgomery County; Maryland,4016.0,1309.0,1417.0,393.0,729.0
24031701704,Census Tract 7017.04; Montgomery County; Maryland,2899.0,1649.0,566.0,109.0,342.0
24031701800,Census Tract 7018; Montgomery County; Maryland,4475.0,1770.0,1919.0,141.0,304.0
24031701900,Census Tract 7019; Montgomery County; Maryland,2992.0,992.0,401.0,38.0,1386.0
24031702000,Census Tract 7020; Montgomery County; Maryland,5705.0,440.0,1099.0,120.0,3878.0
24031702101,Census Tract 7021.01; Montgomery County; Maryland,6285.0,821.0,2041.0,876.0,2327.0
24031702102,Census Tract 7021.02; Montgomery County; Maryland,3333.0,2501.0,180.0,100.0,248.0
24031702200,Census Tract 7022; Montgomery County; Maryland,4029.0,2358.0,413.0,250.0,552.0
24031702301,Census Tract 7023.01; Montgomery County; Maryland,3522.0,707.0,1361.0,228.0,1054.0
24031702302,Census Tract 7023.02; Montgomery County; Maryland,4319.0,1871.0,1769.0,93.0,385.0
24031702401,Census Tract 7024.01; Montgomery County; Maryland,2684.0,2019.0,217.0,42.0,290.0
24031702402,Census Tract 7024.02; Montgomery County; Maryland,4629.0,1375.0,1908.0,375.0,543.0
24031702501,Census Tract 7025.01; Montgomery County; Maryland,3580.0,1134.0,1459.0,403.0,363.0
24031702502,Census Tract 7025.02; Montgomery County; Maryland,1813.0,555.0,560.0,128.0,375.0
24031702503,Census Tract 7025.03; Montgomery County; Maryland,4256.0,977.0,1903.0,512.0,578.0
24031702602,Census Tract 7026.02; Montgomery County; Maryland,5025.0,1583.0,1878.0,353.0,1015.0
24031702603,Census Tract 7026.03; Montgomery County; Maryland,2247.0,766.0,661.0,312.0,286.0
24031702604,Census Tract 7026.04; Montgomery County; Maryland,3139.0,1183.0,1055.0,357.0,360.0
24031702700,Census Tract 7027; Montgomery County; Maryland,7131.0,2551.0,2093.0,874.0,871.0
24031702800,Census Tract 7028; Montgomery County; Maryland,5548.0,3380.0,1335.0,109.0,358.0
24031702900,Census Tract 7029; Montgomery County; Maryland,5630.0,3616.0,753.0,300.0,656.0
24031703000,Census Tract 7030; Montgomery County; Maryland,1783.0,1065.0,140.0,110.0,325.0
24031703100,Census Tract 7031; Montgomery County; Maryland,4875.0,2196.0,621.0,415.0,1289.0
24031703201,Census Tract 7032.01; Montgomery County; Maryland,8541.0,4152.0,593.0,1025.0,2526.0
24031703202,Census Tract 7032.02; Montgomery County; Maryland,6187.0,3975.0,380.0,522.0,891.0
