"Permit Number","Status","Street Number","Street Name","Street Suffix","Post-direction","City","State","ZIP code","Added Date","Issue Date","Final Date","Building Area","Declared Valuation","Description","Application Type","Work Type","Use Code","Pre-direction","Location"
"327211","Finaled","3304","CASTLE RIDGE","CIR",,"SILVER SPRING","MD","20904","12/10/2003","03/18/2004","09/22/2004","1,800","$85,000.00","MODEL:  ADAMS","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.940311 39.085987)"
"748459","Stop Work",,,,,,,,"03/18/2016","04/01/2016",,"0","$0.00","Customer Wants To Use ePlans,NEW PURE MODEL, IRC 2016, 1945 CAMBRIDGE, REAR LOAD GARAGE, 3 STORIES ONLY","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"472732","Finaled","25548","JOY","LN",,"DAMASCUS","MD","20872","11/30/2007","01/12/2009","05/29/2009","2,460","$95,000.00","Hazelton Model","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.212806 39.27576)"
"276532","Finaled","1654","WHITE OAK VISTA","DR",,"SILVER SPRING","MD","20904","05/02/2002","05/28/2002","10/25/2002","2,244","$82,000.00","MODEL:  FAIRLINGTON","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.980719 39.046388)"
"721112","Finaled","19661","VAUGHN LANDING","DR",,"GERMANTOWN","MD","20874","07/21/2015","10/06/2015","03/28/2016","2,659","$95,000.00","Model:&nbsp; Schubert&nbsp;

***eplans","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.275231 39.175552)"
"307683","Finaled","23425","CLARKSRIDGE","RD",,"CLARKSBURG","MD","20871","06/02/2003","12/18/2003","05/27/2004","2,275","$80,000.00","MODEL:  ANNAPOLIS","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.278618 39.241118)"
"335876","Finaled","21809","SENECA AYR","DR",,"BOYDS","MD","20841","02/29/2004","11/30/2004","06/27/2005","16,336","$812,000.00","(MPDU)","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.268072 39.212809)"
"559137","Issued","13214","CLOPPERS MILL","DR",,"GERMANTOWN","MD","20874","01/20/2011","11/03/2011",,"2,400","$135,000.00","Referback #558884, VANDERBILT TERRACE model","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.274983 39.1493)"
"331997","Finaled","512","SEATON SQUARE","DR",,"SILVER SPRING","MD","20901","02/10/2004","09/01/2004","07/21/2005","2,109","$95,000.00","Model # Hazelton","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.997236 39.038125)"
"562079","Issued",,,,,,,,"03/01/2011","04/21/2011",,"1,920","$95,000.00","PURE MODEL-BEETHOVEN","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"255168","Finaled","13013","TOWN COMMONS","DR",,"GERMANTOWN","MD","20874","08/03/2001","10/25/2001","05/02/2002","2,400","$100,000.00","MODEL:  BILTMORE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.268733 39.18242)"
"639225","Finaled","17042","AMITY","DR",,"WASHINGTON GROVE","MD","20880","06/20/2013","07/31/2013","03/27/2014","1,728","$180,000.00","NEW TOWNHOME ON VACANT LOT / REFERBACK /&nbsp;AMBERLEA MODEL&nbsp;/ 2012 IRC / (MPDU)","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.167028 39.13712)"
"271035","Finaled","2","TOWN COMMONS","CT",,"GERMANTOWN","MD","20874","03/05/2002","05/02/2002","11/27/2002","2,156.88","$125,000.00","MODEL:  TOWNS KINGLEY","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.26865 39.182819)"
"680478","Issued","13429","WATERFORD HILLS","BLVD",,"GERMANTOWN","MD","20874","07/15/2014","08/27/2014",,"1,900","$95,000.00","TOWNHOME REFERBACK&nbsp;BEETHOVEN FTE MODEL

***MPDU***","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.276269 39.177537)"
"420313","Finaled","1522","REGENT MANOR","CT",,"SILVER SPRING","MD","20904","05/08/2006","03/22/2007","07/26/2007","1,960","$95,000.00","Model:Fairmont
MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.978413 39.042875)"
"387094","Finaled","17733","PHELPS HILL","LN",,"ROCKVILLE","MD","20855","06/14/2005","12/13/2005","06/19/2008","2,194","$140,000.00","Unit type B  Permit extended until February 13, 2008
3/31/08 - GML - Permit still valid.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.144594 39.147128)"
"351248","Finaled","14312","KIMONO","CIR",,"BOYDS","MD","20841","07/12/2004","12/09/2004","08/10/2005","1,620","$150,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.295915 39.160865)"
"320819","Finaled","13115","TANNERY RIDGE","DR",,"CLARKSBURG","MD","20871","10/07/2003","04/16/2004","08/25/2004","2,258","$95,000.00","Model:Fairgate","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.281198 39.243563)"
"227187","Finaled","14322","GATE DANCER","LN",,"BOYDS","MD","20841","08/22/2000","10/12/2000","03/27/2001","1,500","$75,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.301499 39.155417)"
"268329","Finaled","13003","TOWN COMMONS","DR",,"GERMANTOWN","MD","20874","01/30/2002","03/25/2002","10/09/2002","2,035","$125,000.00","MODEL - TOWNS - MACKENZIE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.268524 39.182226)"
"700360","Finaled","4445","CAMLEY","WAY",,"BURTONSVILLE","MD","20866","01/12/2015","03/30/2015","10/20/2015","2,215","$95,000.00","MPDU***","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"499948","Finaled","17403","PIPERS","WAY",,"OLNEY","MD","20832","11/12/2008","11/21/2008","02/02/2009","100","$3,000.00","ALTERATION - Headers and top plate; 100-sqft.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.071879 39.143285)"
"472696","Finaled","17706","PHELPS HILL","LN",,"ROCKVILLE","MD","20855","11/30/2007","06/17/2008","02/11/2009","2,206","$175,000.00","Unit Type C","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.144722 39.147627)"
"700347","Finaled","14526","BENTLEY PARK","DR",,"BURTONSVILLE","MD","20866","01/12/2015","03/31/2015","01/07/2016","1,446","$95,000.00","MPDU***","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"849875","Finaled","137","TRAVILAH CREST","TER",,"ROCKVILLE","MD","20850","08/27/2018","09/25/2018","12/11/2018","342","$1,000.00","Customer Wants To Use ePlans,SALES OFFICE IN GARAGE","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.210717 39.090361)"
