GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino,pct_people_of_color,pct_households_no_vehicle_z,pct_people_below_poverty_z,pct_age_65_plus_z,pct_disabled_z,transit_need_index,transit_need_percentile,transit_need_quartile
24031700837,Census Tract 7008.37; Montgomery County; Maryland,6909.0,8.3,8.2,9.1,6.9,104083.0,6909.0,1055.0,860.0,3196.0,1780.0,84.73006223766102,0.04826164570234647,0.11942829976243528,-0.8437827289818816,-0.6030043423031272,-0.3197742814550567,0.35344827586206895,moderate_low
24031700838,Census Tract 7008.38; Montgomery County; Maryland,4636.0,2.3,2.2,9.4,7.8,112562.0,4636.0,1509.0,979.0,740.0,808.0,67.45038826574633,-0.706572183709634,-0.8887232664553337,-0.8140789821116479,-0.40296095705861984,-0.7030838473338088,0.034482758620689655,low
24031700839,Census Tract 7008.39; Montgomery County; Maryland,5604.0,4.8,7.3,9.5,4.7,105461.0,5604.0,2366.0,1083.0,1652.0,445.0,57.780157030692365,-0.3920580881213089,-0.03179443517023,-0.8041777331549033,-1.0919992840119235,-0.5800073851145915,0.08620689655172414,low
24031700901,Census Tract 7009.01; Montgomery County; Maryland,4905.0,29.1,16.8,29.7,18.7,77885.0,4905.0,1869.0,573.0,1847.0,441.0,61.896024464831804,2.6650189209972117,1.564445544674571,1.195874556107496,2.0197867086804155,1.8612814326149236,0.9827586206896551,high
24031700902,Census Tract 7009.02; Montgomery County; Maryland,4299.0,0.4,3.0,16.1,13.2,118821.0,4299.0,1695.0,541.0,785.0,1191.0,60.57222609909281,-0.9456028963567611,-0.7543030576262978,-0.15069530200976278,0.797299354408425,-0.2633254753960992,0.43103448275862066,moderate_low
24031700903,Census Tract 7009.03; Montgomery County; Maryland,2072.0,6.6,15.8,11.0,8.1,105771.0,2072.0,538.0,262.0,193.0,1002.0,74.03474903474904,-0.16560793929771478,1.3964202836382762,-0.655658998803735,-0.33627982864378403,0.05971837922326059,0.6637931034482759,moderate_high
24031700904,Census Tract 7009.04; Montgomery County; Maryland,3979.0,31.2,25.1,12.9,7.6,81438.0,3979.0,943.0,589.0,1439.0,818.0,76.30057803468208,2.929210761291405,2.9590552112758184,-0.46753526862558853,-0.4474150426685104,1.2433289153182812,0.9612068965517241,high
24031700905,Census Tract 7009.05; Montgomery County; Maryland,4430.0,20.5,4.6,9.3,9.3,103787.0,4430.0,2314.0,227.0,1365.0,498.0,47.76523702031603,1.5830904321733732,-0.48546263996822614,-0.8239802310683924,-0.06955531498444045,0.051023061538078535,0.6551724137931034,moderate_high
24031701001,Census Tract 7010.01; Montgomery County; Maryland,5998.0,5.2,8.6,20.3,12.8,152393.0,5998.0,3155.0,484.0,1195.0,676.0,47.39913304434812,-0.3417358328271768,0.1866384041769533,0.2651571541735083,0.7083911831886442,0.20461272717798226,0.7413793103448276,moderate_high
24031701002,Census Tract 7010.02; Montgomery County; Maryland,3928.0,3.4,2.0,26.4,10.0,234962.0,3928.0,2464.0,387.0,545.0,316.0,37.270875763747455,-0.5681859816507709,-0.9223283186625927,0.8691333405349257,0.08603398465017634,-0.1338367437820654,0.5344827586206896,moderate_high
